"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FAM76A|Q8TAV0",-0.615478317525554,97191.3511728395,-10.4574894018807,7.60471478101717e-20,4.32636385676275e-18,34.5018415267281
"VHL|P40337",-1.57652278679552,193549.371153846,-10.8719251312282,6.34765787621396e-20,3.66593271790438e-18,34.4427692721593
"SGCE|O43556",2.9407005290643,2007486.29824561,10.0630287613528,6.29086926356274e-20,3.65157817405279e-18,34.3738410367665
"SLBP|Q14493",-0.945022137068797,201823.52671875,-13.406820329319,4.7444414203745e-20,2.79653029082384e-18,34.3412443859287
"NCAPD2|Q15021",-1.16218537872644,225815.031625,-12.136671192423,1.07599418571788e-19,6.00194805545559e-18,34.194544219592
"RPF2|Q9H7B2",-2.05746798272078,864005.813596491,-10.0047570913931,9.46678445968587e-20,5.33264434958167e-18,33.9689813913869
"TOE1|Q96GM8",1.48954350056871,225585.882040816,11.3772240781521,1.57960302394408e-19,8.60131456133361e-18,33.8822703199075
"KMT2A|Q03164",-0.924079978955412,379030.670660377,-10.0428291201222,1.22121435761456e-19,6.7137433554435e-18,33.7467066578021
"INSYN2|Q6ZSG2",0.365854120669501,78897.9241463415,11.884541289558,2.13475264986354e-19,1.10958620687225e-17,33.7116782001683
"SNAPC4|Q5SXM2",2.37618951557448,513383.1055,11.9559467436434,2.32255490306819e-19,1.20173824961922e-17,33.5962267316122
"CIRBP|Q14011",-35.3587574717006,16020477.1491228,-9.93713857219194,1.51945288714585e-19,8.31337022225492e-18,33.5003179831677
"PCDHA11|Q9Y5I1",0.182602880703168,69260.8414583333,10.4876118678046,1.99468609452583e-19,1.04629520600472e-17,33.4319685929232
"EXOC4|Q96A65",-24.3129809933818,38621685.745614,-9.92269338551634,1.68080432854687e-19,9.10900355304902e-18,33.400358844765
"MAPK1IP1L|Q8NDC0",-2.09138735021277,1428521.07850877,-9.92132810670481,1.69690872655259e-19,9.1529015510042e-18,33.390914204635
"DNM1P34|Q6PK57",-3.31041054092105,296053.090833333,-16.9336489575496,1.61223616856829e-21,1.18941423145667e-19,33.3888871174018
"KRT18|P05783",-3.0443891700636,225846.892653061,-11.53518475896,7.29563118213318e-20,4.19223831998457e-18,33.3670097066995
